ncons,Id IMDb,Identité,Photo de profil,Connu pour ces Films,Popularité,Biographie,Année de naissance,Lieu de naissance,Année de décès,Métier,Profession Primaire,Profession Secondaire,Profession Tertiaire
nm0729686,39496.0,Julien Rivière,/qYTujIodf4txtn42BuJZUkUQOgg.jpg,"tt0119590,tt1390405,tt0113362,tt0260767",0.1691,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0703347,,Gilles Quessette,,"tt0260767,tt0480736",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm14617920,,Jean-François Labourie,,tt0260767,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1130874,,Gavin Brooks,,tt0261392,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0932790,,John Willyung,,"tt0118842,tt0261392,tt6521876,tt0300051",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0867621,586377.0,Frédéric Topart,,"tt0262826,tt0291535,tt0363864,tt0848236",0.0404,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1133656,574095.0,Hillel Friedman,/j7lXDq2eETUaaQTvHhhp3ySeMuA.jpg,tt0264761,0.0214,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0034647,3171453.0,Robert Ari,,"tt0264761,tt0081793,tt0166943,tt0098844",0.1476,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0693569,212088.0,Eric Poulain,/eKS2cHXF8Nxfthg8Kcx3xYzpOFB.jpg,"tt1247640,tt18453212,tt21071598,tt0421974",0.0759,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1027881,,Omar-Echériff Attalah,,"tt0284387,tt0265116",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0060780,78479.0,Laurent Bateau,/t9eOdFBBc96jNUaHj6FWaX3GcFK.jpg,"tt1212419,tt6938828,tt1616523,tt1194616",0.1603,"Laurent Bateau est un acteur français.

Laurent Bateau commence sa carrière au théâtre puis dans une série télévisée diffusée en 1992 sur Antenne 2, Goal. Après cette expérience, il retourne au théâtre le temps de quelques pièces entre 1993 et 1999. En 1996, il décroche un petit rôle dans Capitaine Conan de Bertrand Tavernier. Par la suite, on le remarque en ami d'Yvan Attal dans Ma femme est une actrice, en espion malchanceux dans OSS 117 : Le Caire, nid d'espions, en ami de Coluche dans Coluche : L'Histoire d'un mec, en mari de Karin Viard dans Polisse...

De 2010 à 2012, il interprète Crémieux, un industriel juif dans la série Un village français.

Il est également au générique de plusieurs mini-séries à succès : Disparue, Le Mystère du lac, Philharmonia.",1964-01-01,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0044390,1847200.0,Didier Azoulay,/wnUuQNEm3eQ9hI9mb4KrbMZNlNR.jpg,"tt0271027,tt0107537,tt0104524,tt0174379",0.9636,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0057246,15738.0,Paul Barrett,/rHwotJE3Em5o0VX8T9SQ0I4pWyt.jpg,"tt1129442,tt0436697,tt4943322,tt0271027",0.1702,Inconnu,Inconnu,"Chester, England, UK",Inconnu,actor,actor,Inconnu,Inconnu
nm0779187,21535.0,George W. Scott,/zuzfHLGsgrxujoPxfIjGzhkVEK6.jpg,"tt0272020,tt11177556,tt11404920,tt0284189",0.0478,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0092230,1160594.0,Thibaut Boidin,,"tt0272093,tt6565592",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0028690,177063.0,Jason Andrews,,"tt0272338,tt0175880,tt0120577,tt0118749",0.4284,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1261494,554026.0,David Schrempf,,tt0272338,0.2782,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1261948,554027.0,Seann Conway,,"tt0272338,tt0402532",0.0683,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1053118,2848944.0,Raul A. Reyes,/al5ueys26gbZyiFtXAbuxByzw4L.jpg,"tt0165042,tt9742936,tt4118584,tt2741602",0.0621,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1052544,,Alan Gryfe,,tt0273300,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0591224,544329.0,Guy-Pierre Mineur,/AiBMbvum9pgbUh10ZucbiBnsYZt.jpg,"tt0268082,tt0115070,tt0105132,tt1272004",0.0143,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0609743,,Alexandre Moulo,,"tt0273772,tt0336992",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0468124,1353845.0,Adama Kouyaté,,"tt0118003,tt0305884,tt0229234,tt0109499",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0404462,3297.0,Nicholas Hutchison,/qMNpcZ0WhBrzfonAPUZSwt8zSDf.jpg,"tt0276751,tt0211181,tt0482546,tt0119115",0.1831,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1167781,3298.0,Ryan Speechley,,tt0276751,0.0256,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1167780,3299.0,Joseph Speechley,,tt0276751,0.0,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0566167,,Dan McComas,,tt0277909,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0114230,,Matthew Brown,,"tt0364396,tt0277909,tt1579395",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0143171,,George Casden,,tt0277909,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0517021,17202.0,Thomas Lockyer,/wArFs4Xa3gMjINQurV13jmUYuH8.jpg,"tt0280609,tt0112760,tt0445946,tt0119365",0.8216,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1400938,172917.0,Chris Robson,,"tt0483607,tt0346156,tt0280609,tt0185906",0.1132,Inconnu,1971-09-02,"Newcastle upon Tyne, England, UK",Inconnu,actor,actor,Inconnu,Inconnu
nm0024810,2422488.0,Martin Amic,/e8rX89M1ATGr3rLzk1cycRS3R4c.jpg,"tt0280990,tt0265932,tt0296625,tt0239388",0.0409,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1050257,21666.0,Jean-Marc Montalto,/qNfn2xO9yKVbCFR5FTLs9y9VTWr.jpg,"tt0281364,tt7456310,tt0473753,tt8956156",0.1331,Inconnu,1973-01-01,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0954907,21668.0,Fabio Zenoni,/f0OSZyEZZbcChQh0CFoEmg5m4O9.jpg,"tt0281364,tt0169504,tt0857347,tt0235606",0.1762,Inconnu,1970-10-04,"Louvain, Belgium",Inconnu,actor,actor,Inconnu,Inconnu
nm0725519,149640.0,Jeff Ricketts,/khiwfKygqFILzpvUNlu55EqQjFm.jpg,"tt10365998,tt4649466,tt0244365,tt5376720",0.1882,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0487615,114951.0,Pierre Laplace,/518bS0KcBhxfATOzsJSJ33wULJw.jpg,"tt0796335,tt15713012,tt0314063,tt0282515",0.112,"Pierre Laplace né le 24 avril 1961, est un acteur français.

Pierre Laplace commence sa carrière au théâtre en 1981, alternant les grands classiques et des pièces plus confidentielles. Il fait partie de la ligue d'improvisation française de 1981 à 1992.

Il débute à la télévision en 1984, et enchaîne les téléfilms et séries aux genres variés (des séries «grand public» telles que Joséphine, ange gardien, Camping Paradis, policières: Fargas dans laquelle il tient l'un des rôles principaux, des apparitions notamment dans Quai n°1, Julie Lescaut, Alice Nevers, Section de recherches, Braquo ou le téléfilm érotique Une jeune fille si charmante en 1993.

À partir de 1986 au cinéma, il joue à la fois dans des films populaires et exigeants tels que Hiver 54, l'abbé Pierre, R.T.T, Le fils à Jo ou La marche.

Source: Article ""Pierre Laplace"" de Wikipédia en français, soumis à la licence CC-BY-SA 3.0.",1961-04-24,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0494667,236616.0,Jean-Jacques Le Vessier,/hHXfbt6ppwrjbnJxTQPzHft4yim.jpg,"tt1642191,tt0282515,tt0117477,tt7534068",0.0431,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0545459,81047.0,François-Régis Marchasson,/4nV4D8nNRCzvbRijcop4W0kMUuN.jpg,"tt0856288,tt0167644,tt0276699,tt0855546",0.1112,Inconnu,1952-10-15,"Paris, France",Inconnu,actor,actor,Inconnu,Inconnu
nm0470796,54625.0,Sacha Kremer,/fa4nkMHJRvlHulwAqoz5q8QXjTa.jpg,"tt0283509,tt1172230,tt0211170,tt0172014",0.0336,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0484000,1178313.0,Dominique Lamure,/p6Zbh1UpKnv75Gwd2H1jj4JOZEa.jpg,"tt0283832,tt0091593,tt0113721,tt0239695",0.0792,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1109715,,Radslav Kinski,,"tt0284277,tt0494239",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0850435,1186716.0,Dato Tarielachvili,,"tt0284277,tt1646962,tt0115755",0.0683,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1110420,,Adrien Pachod,,tt0284277,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1111525,,Pascal Chanal,,"tt0284277,tt0113904,tt0429227,tt0466308",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1110550,,Nicolas Ponthus,,"tt0284277,tt0169462",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1164159,,Dominic Delesilva,,tt0284837,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0013584,,Mário Aguilar,,"tt0284837,tt0123043,tt1107803",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1716551,,Dirk Denoyelle,,"tt0286244,tt0149453,tt0233095,tt2378273",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0062917,2686865.0,Noël Baye,,"tt0286244,tt1172230,tt0340086,tt0284573",0.0362,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0401122,563732.0,Jérôme Huguet,/vpxDqzc9MhSDk06zci0xtrTniBU.jpg,"tt0477507,tt0216787,tt1304873,tt0216689",0.0882,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1326769,580245.0,Apollinaire Louis-Philippe Dogue,,tt0291538,0.0071,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1226261,1090711.0,Didier Saint Melin,/ldIUxncHyhKqNDBhNLFQwBcAowT.jpg,tt0293662,0.1179,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1226239,1710010.0,Laurent Desponds,/snfoa7HCzNtSYyI1k2GENBwpx9R.jpg,"tt0293662,tt0295721,tt2446042,tt2088376",0.1318,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
